DIAGNOSIS,count
CHRONIC LYMPHOCYTIC LEUKEMIA,3
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT REDO ,3
COPD EXACERBATION; PNEUMONIA,3
AORTIC STENOSIS\AORTIC AND ? MITRAL VALVE REPLACEMENT /SDA,3
"ASCITES,CIRRHOSIS,RENAL FAILURE",3
TRACHEOMALACIA/SDA,3
SEVERE SPINAL STENOSIS,2
DYSPHASIA,2
CORONARY ARTERY DISEASE;VENTRICULAR ARREST\CATH,2
GANGRENE LEFT LEG,2
VENTRICULAR FIBRILLATION\ICD,2
RIGHT MIDDLE LOBE NODULE/SDA,2
SUBARACHNOID BLEEDING,2
RESPIRATORY FAILURE-TRACHEA MALASIA,2
"CAROTID STENOSIS, RIGHT/SDA",2
PNEUMONIA/DEHYDRATION,2
TRANSFUSION REACTION,2
COMPRESSION FRACTURE,2
PICA ANEURYSM,2
STATUS POST HANGING,2
IPH,2
CORONARY ARTERY DISEASE;CONGESTIVE HEART FAILURE\ANGIOPLASTY,2
CORONARY ARTERY DISEASE;AORTIC VALVE INSUFFICIENCY,2
BACTREMIA,2
LIVER FAILURE;?PNEUMONIA;ENCEPHALOPATHY,2
RAPID AFIB; FLUTTER,2
CORONARY ARTERY DISEASE; CARDIOMYOPATHY,2
DOG BITE,2
CORONARY ARTERY DISEASE\BENTALL PROCEDURE/SDA,2
BILATERAL LEG FRACTURES,2
S/P MCC,2
ARTERIAL INSUFFICIENCY,2
RIGHT RENAL CALCULI;DIABETIC KETOACIDOSIS,2
DEEP VEIN THROMBOSIS/ S/P AVR\ REDO HEMI STRENOTOMY ARCH TO DESCENDING STENT,2
?PELVIC ABSCESS;TELEMETRY,2
TRICUSPID REGURGITATION\TRICUSPID VALVE REPLACEMENT,2
SEPTIC ENDOCARDITIS,2
CRITITCAL AORTIC STENOSIS,2
BILATERAL BREAST CANCER/SDA,2
SHINGLES,2
METASTASTIC BREAST CANCER TO LIVER/SDA,2
POST CARDIAC ARREST,2
RIGHT PARACOSTASL TUMOR/SDA,2
INTRA-ABDOMINAL HEMORRHAGE,2
SHORT GUT SYNDROME/SDA,2
LT HIP PAIN,2
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT; LIMITED ACCESS/SDA,2
CIRRHOSIS-ASCITES,2
INTERCRANIAL HEMMORHAGE,2
LYMPHADENOPATHY;FEVER,2
CONGESTIVE HEART FAILURE;AORTICSTENOSIS,2
VENTRICULAR TACCHYCARDIA,2
VOCAL CORD EDEMA,2
CERVICAL CANCER,2
"AORTIC STENOSIS\AORTIC VALVE REPLACEMENT, RE-DO/SDA",2
LOWER GATROINTESTINAL BLEED,2
CHEST PVD,2
RESPIRATORY FAILURE;AIRWAY OBSTRUCTION,2
SEPTIC THROMBOPHLEBITIS,2
CHOLEYCYSTITIS,2
S/P SEIZURE,2
LIVER FAILURE-CHRONIC RENAL FAILURE,2
RENAL FAILURE/SDA,2
RIGHT CAROTID STENOSIS\RIGHT CAROTID ANGIOGRAM,2
ACITIC STENOSIS,2
TRAUMATIC INTRACRANIAL BLEED,2
ADNEXAL MASS,2
RIGHT PATELLA FX-LEFT FEMORAL NECK FX,2
TOE INFECTION,2
T12 FRACTURE,2
PROSTHETIC VALVE ENDOCARDITIS,2
SYMTOMATIC CAROTID STENOSIS,2
RENAL FAILURE;STATUS POST KIDNEY TRANSPLANT,2
CHEST PAIN; CARDIAC ISCHEMIA\LEFT HEART CATHETERIZATION,2
CHEST PAIN/SHORTNESS OF BREATH,2
URINARY TRACT INFECTION;RENAL FAILURE,2
AFIB\ PHARMACOLOGICAL/NONPHARMACOLOGICAL MANAGEMENT AFIB,2
MOTOR VEHICLE ACCIDENT\INJURIES;TELEMETRY,2
AORTIC ANEURYSM\ENDOVASCULAR THORACIC ANEURYSM REPAIR  ,2
PROSTATE CANCER,2
INFECTED LEFT FOOT;DIABETES,2
ASYSTOLE,2
DIABETIC FOOT ULCER;FEVER;TELEMETRY;METHICILLIN RESISTANT STAPH AUREUS,2
"26WKS,PIH,PREECLAMPSIA",2
PERIPHERAL VASCULAR DISEASE;SHORTNESS OF BREATH;CHEST HEAVINESS;ISCHEMIA;HYPERTENSION;DIABETES\CATH,2
BREAST CANCER RIGHT/SDA,2
PARATRACHEAL MASS/SDA,2
RESPRTORY DISTRESS,2
GUNSHOT WOUNDS,2
INTRAABDOMINAL BLEED,2
SEPSIS;LIVER FAILURE;SHORT GUT SYNDROME,2
ADENOCARCINOMA OF COLON/SDA,2
ACHALASIA,2
AV FISTULA/SDA,2
RIGHT PAROTID MASS/SDA,2
MYOCARDIAL INFARCTION;CHRONIC RENAL INSUFFICIENCY,2
R/O MYOCARDIAL INFARCTION-CHEST PAIN,2
RT FRONTAL CONTUSION,2
COAGULOPATHIC,2
MITRAL VALVE PROLAPSE\MITRAL VALVE REPLACEMENT; HEART PORT MINIMALLY INVASIVE/SDA,2
BLEEDING TRACHEOSTOMY,2
CHRONS,2
MYASTHENIA,2
RIGHT FRONTAL MASS/SDA,2
GUN SHOT WOUND TO FACE,2
"SHOCK,GI BLEED",2
CORONARY ARTERY DISEASE\CATH/STENT PLACEMENT,2
CORD INJURY,2
CHRONIC DIVERTICULITIS/SDA,2
HEMOLYTIC ANEMIA,2
CONGESTIVE HEART FAILURE;PNEUMONIA;RULE-OUT MYOCARDIAL INFARCTION,2
HYPOTENSION;URINARY TRACT INFECTION,2
FOREIGN BODY IN STOMACH,2
RIGHT ELBOW PAIN/SDA,2
"CONGESTIVE HEART FAILURE,CHRONIC OBSTRUCTIVE PULMONARY DISEASE",2
MEDIASTINAL ADENOPATHY\FLEXIBLE BRONCHOSCOPY; LINEAR ENDOBRONCHIAL ULTRASOUND (EBUS); FLUOROSCOPY; TRANSBRONCHIAL BIOPSY; TRANSBRONCHIAL NEEDLE ASPIRATION; BRONCHIAL ALVEOLAR LAVARGE ,2
"CELLULITIS,MENTAL STATUS CHANGE",2
S/P FALL;ALTERED MENTAL STATUS,2
S/P CATH;FOR SURGICAL REVASCULARIZATION\CATH,2
BILATERAL SUBDURAL HEMATOMA,2
R/O MYCOARDIAL INFARCTION,2
LEUKEMIA;SEPSIS;PNEUMONIA,2
LARYNGEAL MASS,2
MULTIFOCAL MOTOR NEUROPATHY,2
PERFORATION,2
PNEUMONIA VS. INFLUENZA,2
INTREPARENCHYMAL HEMORRHAGE,2
CELLULITIS;HYPOTENSION,2
THYROID NODULE/SDA,2
ELEVATED CREATININE-DEHYDRATION,2
ASYSTOLIC ARREST,2
MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH/SDA,2
SYPHILIS,2
CAD/AS,2
ELEVATED LIVER FUNCTION TEST,2
PERI-RECTAL ABSCESS,2
LEFT HIP AVASCULAR NECROSIS/SDA,2
RENAL FAILURE; ALCOHOLIC HEPATITIS,2
RIGHT FRONTAL MASS,2
NON ST MYOCARDIAL INFARCTION,2
PERFORATED APPENDIX,2
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; WITH MVR;MAZE/SDA,2
CORD COMPRESSION;ATRIAL FIBRILLATION;TELEMETRY,2
CEREBRAL ANUERYSM/SDA,2
STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES;TELEMETRY,2
BLEEDING AV FISTULA,2
DIABETES MELLITUS;END STAGE RENAL DISEASE;ENDOCARDITIS,2
S/P VTACH,2
CONGESTIVE HEART FAILURE;MYOCARDIAL INFARCTION\CATH,2
NAUSEA W/VOMITING,2
MEDIASTINITIS,2
INTRACEREBRAL HEMORRHAGE;TELEMETRY,2
ENDOCARDITIS; BACTEREMIA,2
BLADDER BLEED;ANEMIA,2
COLON CARCINOMA/SDA,2
TRACHEOBRONCHEAL MALACIA,2
URINARY TRACT INFECTION; CHRONIC RENAL FAILURE,2
"BREAST CANCER, RIGHT/SDA",2
HYPOGLYCEMIC SEIZURE,2
DYSPNEA;PULMONARY EDEMA,2
SPLEENIC LACERATION,2
RIGHT FOOT CELLULITIS,2
S/P KIDNEY TRANSPLANT;FEVERS,2
PERICOLOSTOMY HERNIA,2
NAUSEA W\VOMITING;HYPERGLYCEMIA,2
TOOTH ABSCESS,2
"HYPERNATREMIA,HYPOTHERMIA",2
RIGHT FOOT GANGRENE,2
DYSPNEA;LIVER CANCER,2
LUDWIG ANGINA,2
MORBID OBESTIY/SDA,2
LEFT FRONTAL TUMOR/SDA,2
PERICARDIAL EFFUSION;TAMPONADE,2
RECTAL MALIGNANT NEOPLASM/SDA,2
SPLENOMEGALY/SDA,2
CORONARY ARTERY DISEASE;AORTIC STENOSIS;CONGESTIVE HEART FAILURE;PULMONARY EDEMA,2
ST ELEVATION\CATH,2
END STAGE LIVER & KIDNEY DISEASE,2
FRACTURED PLEVIS,2
DIPLOPIA,2
SYMPTOMATIC CAROTID STENOSIS,2
FAILED TRANSPLANT,2
CONGESTIVE HEART FAILURE;AORTIC STENOSIS\COREVALVE; AORTIC VALVE REPLACEMENT ,2
DIABETIC KETOACIDOSIS;,2
FEVER;ABDOMINAL PAIN,2
INTRACRANIAL HEMORRHAGE/HEMOTHORAX/SPINAL FX/S/P FALL,2
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFTWITH MVR /SDA,2
INTRACRAINIAL BLEED,2
RIGHT LEG SARCOMA/SDA,2
BILIARY OBSTRUCTION\ERCP ,2
CHEST PAIN;CORONARY ARTERY DISEASE;RENAL INSUFFICIENCY\CATH,2
OA RIGHT HIP/SDA,2
ORAL SWELLING,2
S/P MOTOR VEHICLE ACCIDENT;DIAPHRAGMATIC RUPTURE,2
TRACHEO-BRONCHEO MALACEA\BRONCHOSCOPY RIGID;STENT REMOVAL,2
SPONDYLOLITHESIS/SDA,2
CA OF LARYNX/SDA,2
CONGESTIVE HEART FAILURE-R/O MYOCARDIAL INFARCTION,2
STAB WOUND TO NECK,2
CLAUDICATION RIGHT LOWER EXTREMITY/SDA,2
"STROKE,CEREBRAL EDEMA",2
FALL/PELVIC FRACTURE,2
HYPOVOLEMIA,2
LEFT KIDNEY STONE/SDA,2
SUBARCHNOID HEMORRHAGE,2
GANGRENE FOOT;CELLULITIS,2
STATUS POST COLECTOMY;ANASTOMOSIS LEAK,2
C2 FX,2
HPOGLYCEMIA,2
HYDROCEPHALUS/SDA,2
INFLUENZA,2
"FEVER, JAUNDICE",2
INFECTED RIGHT HIP/SDA,2
PANCREATIC CYST,2
CEREBELLAR HEMATOMA,2
BICYCLIST STRUCK,2
"S/P KIDNEY TX,PRE OP PANCREAS TX",2
CHEST ABSCESS,2
ENDOCARDITIS;OSTEOMYELITIS;DISCITIS,2
PNEUMONIA;ALTERED MENTAL STATUS; AFIB;RVR,2
MYELODYSPLASTIC SYNDROME\BONE MARROW TRANSPLANT ,2
LUNG DISEASE/SDA,2
PNEUMONIA;TRACHEOMALACIA,2
R.LEG ABCESS,2
FEVER-HYPOTENSION,2
MITRAL VALVE ENDOCARDITIS,2
CERVICAL INSTABILITY;FAILED HARDWARE,2
CORONARY ARTERY DISEASE\ANGIOPLASTY AND STENT,2
T4 COMPRESSION FX/SDA,2
MI/DKA,2
"MI, CHF",2
BLEEDING FROM TRACH,2
FB ESOPHAGUS,2
BLEEDING HEPATOMA,2
HEART FAILURE;PNEUMONIA,2
CA,2
ASCENDING AORTIC ANEURYSM\BENTALL PROCEDURE/SDA,2
FRONTAL ICH,2
FEVER;CHEST PAIN;TELEMETRY,2
PNA,2
S/P GUN SHOT WOUND TO HEAD,2
OVERDOSE;S/P FALL,2
OVARIAN CANCER;BOWEL OBSTRUCTION,2
CRONIC OBSRUCTIVE PULMONARY DISEASE;LUNG ABCESS,2
INTRA ABDOMINAL ABSCESS,2
SAH;SDH,2
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; W/MVR/SDA,2
AORTIC STENOSIS;ATRIAL FIBRILLATION;CONGESTIVE HEART FAILURE\CATH,2
CADS/P CABG\CX ANGIOPLASTY AND STENT,2
MANDIBLE FRACTURE,2
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT; W/ ATRIACURE MAZE,2
CORONARY ARTERY DISEASE\CORONARY ANGIOGRAM,2
CA OF ESOPHAGUS/SDA,2
PERICARDIAL EFFUSION\PERICARDIAL CENTESIS,2
"FEVER, ABDOMINAL PAIN",2
HEMORRHAGIC CEREBRAL VASCULAR ACCIDENT,2
METASTATIC LUNG CA/SDA,2
CONGESTIVE HEART FAILURE;RESPIRATORY FAILURE;SEVERE AS,2
LEFT TEMPORAL MASS,2
ALTERED MENTAL STATUS;R/O MENINGITIS,2
SOFT TISSUE MASS,2
AORTIC STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT ,2
PNA/SEPSIS,2
"ASTHMA, COPD EXACERBATION",2
CHRONIC RENAL FAILURE ;KIDNEY PANCREAS TRANSPLANT,2
CARDIOMYOPATHY; HEART BLOCK\BIVENTRICULAR PACEMAKER IMPLANTATION,2
CHEST PAIN R/O MI,2
ASTHMA EXACERBATION;CHRONIC OBST PULM DISEASE,2
AORTIC VALVE INSUFFIENCY\CORONARY ARTERY BYPASS GRAFT WITH AVR /SDA,2
ANGINA\LEFT HEART CATH,2
ATRIAL FIBRILLATION\PHARMACOLOGICAL / NON PHARM MGMT AFIB ABLATION **REMOTE WEST** /SDA,2
TIBIA FRACTURE,2
PNEUMONIA;RESPIRATORY DISTRESS,2
AORTIC STENOSIS\AORTIC VALVE ? ASCENDING AORTA REPLACEMENT /SDA,2
HEPATORENAL SYNDROME HEMETEMSIS,2
COLON PERF,2
R PTX,2
METASTATIC RENAL CELL CARCINOMA\INTERLEUKIN HIGH DOSE,2
PNEUMONIA-R/O TB,2
C-SPINE INJURY,2
PRE TERM CONTRACTIONS;31 WEEKS,2
ACUTE RENAL FAILURE;LLL PNEUMONIA,2
BOOP SYNDROME,2
HYPOTENSION;ANEMIA,2
ACUTE CVA;TELEMETRY,2
ABDOMINAL WOUND INFECTION,2
SEVERE AS\AORTIC VALVE REPLACEMENT,2
SEPSIS;CHOLANGITIS,2
ABDOMINAL ABSCESS;TELEMETRY,2
"S/P FALL, S/P R/O MI",2
"SEPSIS, PNEUMONIA",2
NEAR SYNCOPE,2
SEVERE MITRAL REGURGITOTION:MITRAL VALVE REPLACEMENT\MITRAL VALVE REPLACEMENT,2
DRUG REFRACTORY ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION **REMOTE WEST** /SDA,2
LEUKEMIA VS LYMPHOMA;ANEMIA,2
THORACIC ABDOMINAL ANEURYSM,2
KLATSKIN TUMOR,2
ATRIAL FIBRILLATION\BILATERAL THORACOSCOPIC MINI MAZE PROCEDURE WITH LEFT ATRIAL APPENDAGE RESECTION BILATERAL/SDA,2
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT MINIMALLY INVASIVE /SDA,2
S/P CVA;FEVER OF UNKNOWN ORIGEN,2
TACHYCARDIA;TELEMETRY,2
RIGHT FRONTAL BLEED,2
AORTIC ANEURYSM\CATH,2
CEREBELLAR ICH,2
GI BLEED;ANEMIA,2
HYPONATREMIA;GENERAL WEAKNESS,2
CHOLANGIOCARCINOMA,2
RECTAL ABSCESS,2
INDUCTION,2
SAH;TELEMETRY,2
GASTROINTESTINAL BLEED-ADVANCED LIVER FAILURE,2
ATRIAL FIBRILLATION\THORACOSCOPIC MAZE PROCEDURE BILATERAL/SDA,2
PLEURAL EFFUSION;ELEV INR,2
AORTIC ABDOMINAL ANEURYSM/SDA,2
HEMOPTYSIS;PNEUMONIA,2
TRACHEAL CANCER,2
T12 SPINAL CORD COMPRESSION/SDA,2
ANASTOMATIC LEAK,2
BACTERIAL ENDOCARDITIS;TELEMETRY,2
LIVER CANCER;SEVERE MUCUSITIS,2
LEG FRACTURE,2
RESPIRATORY FAILURE;SEPSIS,2
SUBDURAL HEMORRHAGE;SUBARACHNOID HEMATOMA;FALL,2
CLOSED LOOP OBSTRUCTION,2
LUNG CANCER;HEMOPTYSIS,2
MYOCARDIAL INFARCTION;UNSTABLE ANGINA,2
METASTATIC COLON CA/SDA,2
CHOLECYSITIS,2
RIGHT LUNG CA,2
ALTERED MENTAL STATUS;POST PROCEDURE ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY,2
ST ELEVATION MYOCARDIAL INFARCTION\CARDIAC CATH,2
"AS,\  REDO STERNOTOMY AVR; ASCENDING AORTIC ARCH REPLACEMENT",2
PSYCHOSIS,2
"CHEST PAIN,SHORTNESS OF BREATH",2
PERICARDIAL EFFUSION\PERICARDIAL TAP/SDA,2
DEPRESSION,2
GANGRENOUS CHOLECYSTITIS,2
ASTHMA;EXACERBATION,2
ALTERED MENTAL STATUS;ACUTE RENAL FAILURE,2
"DIARRHEA,DEHYDRATION",2
"PNEUMONIA,HOSPITAL VS COMMUNITY ACQUIRED",2
"ACUTE,MI\CATH",2
OVARIAN MASS;PULMONARY EMBOLISM,2
BRBPR/BLOOD LOSS ANEMIA,2
INFECTED BIVENTRICULAR IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,2
MI\CATH,2
CERVICAL SPINE INJURY,2
FEVER;LINE SEPSIS,2
BILATERAL HIP FRACTURE,2
LYMPHOMA/SPINAL CORD COMPRESSION,2
HODGKINS DISEASE\BONE MARROW TRANSPLANT,2
TRAUMATIC ARREST,2
MYOCARDIAL ISCHEMIA,2
FACIAL CELLULITIS,2
MITRAL REGURGITATION\MINIMALLY INVASIVE MITRAL VALVE REPAIR VS REPLACEMENT/SDA,2
AMPULARY ADENOMA/SDA,2
+\INITIATE DIALYSIS,2
HYPOTENSION; UNSTABLE ANGINA,2
ANTERIOR COMMUNICATING ANEURYSM/SDA,2
NEUROSAICOIODOSIS,2
CARDIAC ISCHEMIA\CARDIAC CATH,2
AMPULLARY CANCER/SDA,2
"UROSEPSIS,PNEUMONIA,COLITIS",2
ABDOMINAL PAIN;CHOLANGITIS,2
BASAL STEM STROKE,2
"FEVER,S/P CHEMO",2
ATHEROSCLEROSIS WITH CLAUDICATION/SDA,2
SUBARACHNOID HEMMORRHAGE,2
METASTATIC MELANOMA\CHEMOTHERAPY (HD-IL2),2
CAROTID ARTERY STENOSIS\CAROTID STENT,2
OBSTRUCTIVE PNEUMONIA,2
MYOCARDIAL INFRACTION,2
CHF VS;MULTIFOCAL PNA,2
MENTAL STATUS CHANGES/ FEVER,2
ACUTE RENAL FAILURE;VOMITING;DIARRHEA;TELEMETRY,2
ATRIAL FIBRILLATION;CONGESTIVE HEART FAILURE,2
RESPIRATORY FAILURE;LUNG CANCER,2
DIABETIC FOOT,2
LERYAGEAL CA/CAROTID INJURY,2
 CHEST PAIN,2
AR\AORTIC VALVE REPLACEMENT/SDA,2
DEHYDRATION;JAUNDICE,2
DYSTONIA\REPLACEMENT GJ-TUBE ** REMOTE WEST INR SUITE **        ,2
CO2 NARCOSIS,2
"ANEMIA, PNEUMONIA",2
CORONARY ARTERY DISEASE;TELEMETRY\BALOON PUMP,2
CHEST PAIN;CONGESTIVE HEART FAILURE\CATH,2
TRANSPLANT REJECTION,2
HYPERTROPHIC CARDIOMYOPATHY\ETHANOL SEPTAL ABLATION/SDA,2
AGITATION,2
FTT,2
PHARYNGEAL ABSCESS,2
SEPSIS;RESPIRATORY FAILURE;TELEMETRY,2
RULE-OUT MYOCARDIAL INFRACTION,2
ANEURYSM /SDA,2
RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY;HYPERTENSION,2
"ASCITES, HYPOGLYCEMIA",2
INFECTED PANCREATIC PSEUDOCYST,2
ABDOMINAL PAIN.,2
ADENOPATHY,2
BRAIN MASS;S/P FALL,2
VENOUS THROMBOSIS,2
PERIPHERAL EDEMA,2
ESLD;ANEMIA;RENAL FAILURE,2
"MI,CHF,CRI\LEFT HEART CATHETERIZATION",2
PNEUMONIA;S/P CARDIAC ARREST,2
ST ELELEVATION MI,2
SMALL BOWEL OBSTRUCTION;ACUTE CHOLEYCYSITIS,2
TRACHEO-BRONCHEAL MALACEA/SDA,2
ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION  **REMOTE WEST**,2
BRBPR,2
CORONARY ARTERY DISEASE;MYOCARDIAL INFARCTION\CATH;STENT PLACEMENT,2
NEW CVA,2
SUBDURAL HEMORRHAGE;CLAVICLE FRACTURE,2
MITRAL REGURGITATION;CHF,2
BREAST CANCER;PNEUMONIA,2
SYNCOPY C2 FRACTURE,2
FOCAL NODULAR HYPERPLASIA/SDA,2
RELL CELL METASTASIS/SDA,2
HEMATURIA;ANEMIA;ST ELEVATED MYOCARDIAL INFARCTION,2
SEPSIS;UNRESPONSIVE,2
SEVERE MITRAL REGURGITATION\CARDIAC CATHETERIZATION,2
SEVERE SEPSIS,2
L. HIP FRACTURE; RF; ANEMIA,2
ATRIAL FIBRILLATION;RVR,2
"FEVER,VOMITING",2
LIVER LESION\RADIO FREQUENCY ABLATION OF LIVER **REMOTE WEST**,2
LOW HEMATOCRIT,2
LIVER HEMATOMA,2
PULMONARY NODULES,2
ANGINA PECTORIS\LEFT HEART CATHETERIZATION,2
SEPSIS; RENAL FAILURE,2
BILATERAL PULMONARY EMBOLIS,2
COLD FOOT,2
GI BLEED;TELEMETRY,2
"RT PLEURAL EFFUSION,R/O CA",2
THUMB AMPUTATION,2
SUBDURAL HAMATOMA,2
SEVERE ISCHEMIA,2
PNA AND HEAD BLEED,2
TIBIAL PLATEAU FRACTURE,2
AORTIC VALVE INSUFFICIENCY\AORTIC VALVE / ASCENDING AORTA REPLACEMENT /SDA,2
TTP ,2
GRAFT INFECTION,2
LIVER FAILURE;LIVER TRANSPLANT,2
ACUTE LYMPHOCYTIC LEUKEMIA,2
LEFT CEREBRAL ANEURYSM/SDA,2
RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY;PNEUMONIA,2
INTRACRANIAL HEMORRAGE,2
"CAD, RENAL FAILURE",2
PANCREATIC CANCER;EDEMA,2
INTRCRANIUM BLEED,2
URINARY TRACT INFECTION;SEIZURE,2
HAND INJURY,2
"S/P TRAUMA,BASILAR SKULL FRACTURE",2
ALCOHOLIC KETOACIDOSIS,2
RT LEG ISCHEMIA,2
FEMUR FRACTURE;ELBOW FRACTURE,2
BILATERAL PNEUMONIA;SHORTNESS OF BREATH,2
S/P BOWEL PERFORATION/SDA,2
PNEUMONIA;EFFUSION,2
ROMI,2
SPINAL METASTASIS/SDA,2
SEPSIS-S/P ARREST,2
NON HEALING LEFT LEG ULCER,2
LIVER AND RENAL FAILURE,2
"ACUTE RENAL FAILURE, CIRRHOSIS",2
LEFT FOOT GANGRENE,2
CHOLECYSITITS,2
THORACIC MYELOPATHY/SDA,2
WET GANGRENE,2
CIRRHOSIS;PANCREATITIS,2
HYPOXIA;PNEUMONIA,2
ISCHEMIC ULCER R GREAT TOE;DIABETES,2
AORTIC STENOSIS\AVR; ? CORONARY ARTERY BYPASS GRAFT ,2
ADENEXAL MASS,2
"FEVER,PNEUMONIA",2
S/P FALL;ICH,2
ASCENDING THORACIC AORTIC ANEURYSM\BENTALL PROCEDURE/SDA,2
HYPOTENSION; GI BLEED,2
FOOT INFECTION,2
RIGHT LUNG LESION\RADIO FREQUENCY ABLATION RIGHT LUNG W/BIOPSY/SDA,2
CORONARY ARTERY DISEASE\AORTIC VALVE REPLACEMENT; ? CORONARY ARTERY BYPASS GRAFT/SDA,2
NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION;PEUMONIA\CATH,2
? SMALL BOWEL OBSTRUCTION,2
BRAIN CONTUSION,2
LEFT CAROTID STENOSIS,2
"CHRONIC AORTIC DISSECTION\RESECTION AORTIC ASCENDING ANEURYSM, CIRCULATORY ARREST",2
LEFT CEREBRAL VASCULAR ACCIDENT,2
LUNG TUMOR/SDA,2
R/O HYDROCEPHALUS,2
RESPIRATORY FAILURE; HYPOTENSION,2
MASTOCYTOSIS FLARE,2
UNSTABLE ANGINA;+ETT\CATH,2
"CHF,PNEUMONIA",2
PNEUMONIA-COPD,2
T9-T10 VERTEBRAL OSTEOMYELITIS,2
CEREBRAL INFARCT,2
ATRIAL FIBRILLATION\ AFIB ABLATION,2
IDDM,2
C1 FX,2
ACUTE RENAL FAILURE;HYPERNATREMIA;MENTAL STATUS CHANGES,2
PELVIS FRACTURE,2
ELECTROLYTE IMBALANCE,2
ASTHMA/COPD FLARE,2
SPINE FRACTURES; CP; SAH,2
POSSIBLE GASTRINTESTINAL BLEED,2
FLUID OVERLOAD;?INFECTION;SHORTNESS OF BREATH,2
ISCHEMIC LEFT FOOT/SDA,2
AORTIC STENOSIS\BENTAL PROCEDURE ,2
DIABETES KETOACIDOSIS,2
CAROTID STENOSIS\CAROTID ANGIOGRAM/STENT PLACEMENT,2
MITRAL VALVE RUPTURE,2
R/O VIRAL HEPATITIS,2
S-T ELEVATION MYOCARDIAL INFARCTION\CATH,2
BRAIN ANEURYSM /SDA,2
DIABETIC KETOACIDOSIS;ACUTE RENAL FAILURE,2
FEVER;NRUTROPENIA,2
CONGESTIVE HEART FAILURE;MYOCARDIAL INFARCTION;TELEMETRY,2
S/P RIGHT SIDE CRANIOTOMY,2
MULTIPLE FRACTURE;S/P PED. STRUCK,2
CONGESTIVE HEART FAILURE;CORONARY ARTERY DISEASE\CATH,2
CERVICAL SPINAL CORD COMPRESSION,2
MULTIPLE FALLS,2
BILATERAL LUNG INFILTRATES,2
R/O MYOCARDIAL INFARCTION-CONGESTIVE HEART FAILURE,2
ACUTE LYMPHOBLASTIC LEUKEMIA,2
ACUTE MI\CATH,2
ANAPHYLAXIS;TELEMETRY,2
HEROIN OVERDOSE,2
HEPATITIS;ASCITES,2
CLAUDICATION LEFT LEG/SDA,2
ZENKER'S DIVERTICULUM/SDA,2
ABDOMINAL PAIN;SHORTNESS OF BREATH;ELEVATED LIVER FUNCTION TEST,2
CHEST PAIN/UNSTABLE ANGINA,2
RIGHT FOOT ULCER-CELLULITIS-DIABETES,2
CORONARY ARTERY DISEASE;MITRAL VALVE DISEASE,2
RIGHT LUNG CANCER,2
RECURRENT BRAIN TUMOR/SDA,2
PAPILLARY RUPTURE,2
RIGHT PARIETAL BRAIN TUMOR/SDA,2
RIGHT HIND FOOT ARTHRITIS/SDA,2
ETOH WITHDRAWAL;PNEUMONIA,2
FEVER; NEUTROPENIA,2
CORONARY ARTERY DISEASE\MITRAL VALVE REPLACEMENT/SDA,2
RIGHT LEG PAIN,2
NECROTIC TOE,2
CONGESTIVE HEART FAILURE-PNEUMONIA,2
BLEEDING AT TRACH SITE,2
FEBRILE SYNDROME;DIALYSIS,2
DYSNEA,2
HERNIATED DISK,2
METASTATIC CA TO SPINE; T SPINE FX,2
S/P MOTOR VEHICLE ACCIDENT;TELEMETRY,2
COPD EXACERBATION;TELEMETRY,2
PANCREAS TX,2
CONGESTIVE HEART FAILURE;S/P AVR,2
RIGHT MCA STROKE,2
IDIOPATHIC CARDIOMYOPATHY;VENTRICULAR TACHYCARDIA;CONGESTIVE HEART FAILURE,2
SEIZURES;TELEMETRY,2
ULCER;IV ANTIBIOTICS,2
TRAUMATIC BRAIN INJURY/SDA,2
HYPOTENSION;PRE-SYNCOPE,2
FALL;SUBARACHNOID HEMATOMA,2
ARTERIOVEOUS MALFORMATION,2
S/P KIDNEY TRANSPLANT;FEVER,2
LEFT SIDED WEAKNESS,2
"PNEUMOTHORAX,INTRACRANIAL HEMORRHAGE",2
INFLUENZA LIKE ILLNESS,2
PNEUMONIA;HEART FAILURE,2
RIGHT LEG WEAKNESS,2
DESCENDING THORACIC AORTIC ANEURYSM,2
DEHYDRATION-NAUSEA-VOMITING,2
PNEUMONIA;RULE-OUT INFLUENZA,2
LEFT BRAIN TUMOR/SDA,2
SUBARACHNOID HEMORRHAGE;SUBDURAL HEMATOMA,2
