diagnosis,category
GI BLEED;JAUNDICE,gastrointestinal
NORMAL PRESSURE HYDROCEPHALUS/SDA,neurological
"MORBID OBESITY, CHOLELITHIASIS/SDA",gastrointestinal
FEVER-CELLULITIS,infectious
ENCEPHALOPATHY;TELEMETRY,neurological
RULE OUT MYOCARDIAL INFARCTION,cardiovascular
CNS MASS,neurological
"PNEUMONIA,CHEST PAIN,RENAL FAILURE",respiratory
ATRIAL FIBRILLATION\PHARMACOLOGICAL / NON PHARM MGMT AFIB ABLATION  **REMOTE WEST**,cardiovascular
3 VESSEL CORONARY ARTERY DISEASE,cardiovascular
AAA/SDA,cardiovascular
GANGRENE/SDA,infectious
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT AND RF MAZE /SDA,cardiovascular
PANCREAS FAILURE,endocrine_metabolic
CONGESTIVE HEART FAILURE; ATRIAL FLUTTER/FIBRILLATION; LEFT BUNDLE BRANCH BLOCK\ATRIAL FLUTTER ABLATION + BIVENTRICULAR ICD IMPLANTATION,cardiovascular
SUBARACHNOID HEMORRHAGE;ANEURYSM,neurological
FEVER;PANCYTOPENIA,infectious
DRUG REFRACTORY ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION  **REMOTE WEST** **JET VENTILATION**/SDA,cardiovascular
SEPSIS;CHRONIC OBST PULM DISEASE,infectious
T12 BURST FRACTURE,trauma_injury
DEHYDRATION-RULE OUT SEPSIS,infectious
OBSTRUCTIVE JAUNDICE;CHOLANGIOCARCINOMA,oncology
HYPERK,endocrine_metabolic
LEG INFECTION,infectious
"A-FIB,R/O MI",cardiovascular
"CELLULITIS,SEPSIS",infectious
"HYPONATREMIA,PNEUMONIA,DEHYDRATION",respiratory
SDH;SAH,neurological
HEAD INJURY;S/P FALL,trauma_injury
CHRONIC IMMUNE DEMYELINATING POLYNEUROPATHY,neurological
METASTATIC RECTAL CANCER TO LIVER/SDA,oncology
AORTIC STENOSIS\ AORTIC VALVE REPLACEMENT/SDA,cardiovascular
UTI;PYLONEPHRITIS,genitourinary
GOITER,endocrine_metabolic
MULTIPLE TRAUMA;S/P MOTOR VEHICLE ACCIDENT,trauma_injury
ULCER,gastrointestinal
CLAUDICATION /SDA,cardiovascular
SDH;TELEMETRY,neurological
LEAKING ANEURYSM,cardiovascular
VISION LOSS,neurological
FB IN ESOPHAGUS,gastrointestinal
LEFT MCA ANEURYSM/SDA,neurological
"NUTRITIONAL DEFICIT,WEIGHT LOSS",other
BRAIN CANCER,oncology
PYLONEPHRITIS,genitourinary
SYNCOPE/HEAD INJURY,trauma_injury
SUBMANDIBULAR ABSCESS,infectious
DESCENDING THORACIC AORTA\ AORTIC VALVE REPLACEMENT W/ ASCENDING AORTIC GRAFT BYPASS TO THORACIC DESCENDING AORTA/SDA,cardiovascular
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT;MITRAL VALVE REPLACEMENT;TRICUSPID VALVE REPLACEMENT; ?/SDA,cardiovascular
BILATERAL SUBDURAL HEMATOMAS,neurological
"ESOPHAGEAL MASS, NECK PAIN",oncology
CARDIAC ARREST;GASTROINTESTINAL BLEED,cardiovascular
TRACHEO BRONCHIAL MALACIA,respiratory
COPD EXCERBATION,respiratory
BARRETT'S W/ HIGH GRADE DYSPLSIA/SDA,gastrointestinal
PNEUMONIA;MENTAL STATUS CHANGES,infectious
"FEVER, RECTAL BLEED, OVARIAN CANCER",oncology
CARCINOID TUMOR\BRONCHOSCOPY RIGID; W/ TUMOR REMOVAL,oncology
DEHYDRATION;MALNUTRITION,other
DYSPNEA;ACUTE RENAL FAILURE,renal
FEMUR FRACTURE;TACHYCARDIA,trauma_injury
PANCOAST TUMOR/SDA,oncology
SEVERE AORTIC STENOSIS\CARDIAC CATH,cardiovascular
CHRONIC SUBDURAL HEMATOMA/SDA,neurological
PULMONARY EMBOLUS;PNEUMONIA,cardiovascular
VER AETNA PER NEHEN 020807 PTB\CHEMO HIGH DOSE INTERLEUKIN-2),infectious
BRAIN EDEMA,neurological
DIABETIC KETOACIDOSIS;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,endocrine_metabolic
METASTATIC BRAIN TUMOR,oncology
CA STOMACH/SDA,oncology
ABDOMINAL METS,oncology
ATRIAL FIBRILLATION\HEPARIN THERAPY 9/21 - CV/TEE 9/22,cardiovascular
ETOH HEPATITIS,hepatobiliary
MAST CELL DEGRANULATION,hematologic
MR\ AORTIC AND MITRAL VALVE REPLACEMENT/SDA,cardiovascular
BENZO WITHDRAWAL,psychiatric
S/P CRANIOTOMY,postoperative_surgical
CHEST PAIN;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY\CATH,cardiovascular
RIGHT FOOT ULCER/SDA,other
CORONARY ARTERY DISEASE;HEART FAILURE,cardiovascular
MITRAL STENOSIS\CORONARY ARTERY BYPASS GRAFT WITH MVR /SDA,cardiovascular
AORTIC STENOSIS/SDA,cardiovascular
FEVER; TACHYCARDIA; JP DRAIN OUT,infectious
SEVERE HEADACHE;R/O MENINGITIS;R/O SAH;,neurological
PELVIC ORGAN PROLAPSE/SDA,genitourinary
CHOLANGITIS;GASTROINTESTINAL BLEED,hepatobiliary
PSEUDOCYST PANCREATIC,gastrointestinal
HODGKINS DISEASE; FEVER,hematologic
AORTIC STENOSIS;ATRIAL FIBRILLATION\ATRIOVENTRICULAR RECIPROCATING TACHYCARDIA;MITRAL VALVE REPLACEMENT,cardiovascular
RESPIRATORY FAILURE;ESOPHAGEAL TEAR,respiratory
BLADDER MASS/SDA,genitourinary
TRACHEAL ESOPHAGEAL FISTULA/SDA,gastrointestinal
GASTROINTESTINAL HEMORRHAGE,gastrointestinal
CRANIAL DEFECT/SDA,neurological
SEPSIS;ALTERED MENTAL STATUS,infectious
C\CORONARY ARTERY BYPASS GRAFT;MITRAL VALVE REPLACEMENT; W/ MAZE PROCEDURE/SDA,cardiovascular
CHRONIC OBST PULM DISEASE;HEMOPTYSIS,respiratory
CHEST PAIN;HYPERTENSION;CORONARY ARTERY DISEASE\CATH,cardiovascular
CHRONIC OBSTRUCTIVE PULMONARY DISEASE FLARE,respiratory
ANEMIA;RENAL FAILURE;ASCITES,renal
MITRAL STENOSIS;MITRAL REGURGITATION;AORTIC STENOSIS,cardiovascular
CLAUDICATION RIGHT/SDA,cardiovascular
RECURRENT BREAST CANCER;RIGHT AXILLA CHEST /SDA,oncology
FAILING GRAFT/SDA,postoperative_surgical
ASPIRATION PNEUMONIA/SDA,respiratory
A-FIB;CONGESTIVE HEART FAILURE\TEE;CARDIOVERSION,cardiovascular
RENAL FAILURE; ABD PAIN,renal
RIGHT CAROTID STENOSIS\RIGHT CAROTID ANGIOGRAM;POSSIBLE STENT PLACEMENT,cardiovascular
FLUID COLLECTION,other
GUNSHOT WOUND TO FACE,trauma_injury
SEPSIS;RENAL FAILURE,infectious
RIGHT NECK MASS,other
COPD EXACERBATION-ASPIRATION,respiratory
FULMINANT C-DIFF;LIVER FAILURE;CIRRHOSIS,gastrointestinal
LIVER FAILURE;CELLULITIS;ACUTE RENAL FAILURE,gastrointestinal
LE WEAKNESS,neurological
? UROSEPSIS,infectious
VALPROATE OVERDOSE,toxicology_poisoning
S/P STAB WOUNDS,trauma_injury
BILIARY COLIC;OBSTRUCTIVE JAUNDICE,hepatobiliary
CAROTID STENOSIS\CAROTID ANGIOPLASTY/SDA,cardiovascular
TRACHEOBROCHOMALACIA/SDA,respiratory
RIGHT ANKLE INFECTION,infectious
VERAPAMIL OVERDOSE,toxicology_poisoning
ACUTE RENAL FAILURE; A FIB,renal
CORONARY ARTERY DISEASE;CARDIOMYOPATHY\CATH,cardiovascular
METHADONE OVERDOSE,toxicology_poisoning
FEVER;S/P LIVER TRANSPLANT,infectious
UTL/PYLELONEPHRITIS,infectious
GUILLAIN-BARRE SYNDROME,neurological
TRACHEAL MASS,oncology
CHOKING,respiratory
SEIZURE/ CHEST PAIN,neurological
BRONCHIAL TUMOR,oncology
UNCONTROLLED DIABETES MELLITUS,endocrine_metabolic
BILE DUCT OBSTRUCTION/SDA,hepatobiliary
LEFT HIP PAIN,musculoskeletal
CONGESTIVE HEART FAILURE\BIVENTRICULAR ICD,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT;AORTIC VALVE REPLACEMENT,cardiovascular
T5 RENAL CELL METASTASIS/SDA,oncology
STATUS POST LEFT ILIAC ARTERY SURGERY; ? PANCREATIC MASS,postoperative_surgical
CEREBRAL MENINGIOMA/SDA,oncology
RIGHT RENAL MASS,oncology
LEFT LOWER EXTREMITY OCCLUSION,cardiovascular
EPIGLOTTIS,infectious
RECURRENT ANGINA;CORONARY ARTERY DISEASE\CARDIAC CATH,cardiovascular
NEW ONSET SEIZURES,neurological
POSTERIOR COMMUNICATING ANEURYSM/SDA,neurological
NON SUSTAINED VENTRICULAR TACHYCARDIA;CONGESTIVE HEART FAILURE,cardiovascular
FAILURE TO WEAN,symptoms_unspecified
NON Q MI,cardiovascular
OVARIAN CANCER\CHEMO/CYCLE OF CARBOPLATIN AND PACLITAXEL,oncology
VTAC,cardiovascular
ATRIAL FIBRILLATION;TELEMETRY;HYPOTENSION,cardiovascular
MYXEDEMA,endocrine_metabolic
NON ST ELEVATION MYOCARDIAL INFARCTION\LEFT HEART CATHETERIZATION,cardiovascular
ALCAHOL WITHDRAWAL,psychiatric
RIGHT-SIDED WEAKNESS,neurological
"ULCERATIVE COLITIS, POLYPS",gastrointestinal
T7 FX,trauma_injury
PANCOLITIS,gastrointestinal
"CANCER,WEAKNESS",oncology
CIRRHOSIS;GASTROINTESTINAL BLEED,hepatobiliary
EPIGASTRIC PAIN,symptoms_unspecified
TRAUMATIC HEAD INJURY,trauma_injury
"COPD EXACERBATION,PNEUMONIA",respiratory
SPLENIC ABSCESS,infectious
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MVR & TVR; ? AVR/SDA,cardiovascular
EXPANDING LUNG LESION,oncology
AORTIC STENOSIS\ AVR ASCENDING AORTIC REPAIR/SDA,cardiovascular
GUILLAIN BARRE SYNDROME,neurological
UIT;PYELONEPHRITIS,genitourinary
FEVER;DIARRHEA,infectious
GALLSTONE;FAILED ERCP,hepatobiliary
HCAP;RIGHT SIDED PLEURAL EFFUSION,respiratory
ACUTE APPENDICITIS,gastrointestinal
TRIPLE AAA,cardiovascular
HYPERTENSIVE EMERGENCY;TELEMETRY,cardiovascular
RESPIRATORY DISTRESS;FEVER,respiratory
LARGE ABDOMINAL MASS,oncology
STATUS POST MOTOR VEHICLE ACCIDENT,trauma_injury
ANTERIOR MI\CARDIAC CATH,cardiovascular
FALL;MULTITRAUMA,trauma_injury
IDIOPATHIC THROMBOCYTOPENIC PURPURA,hematologic
KNEE INFECTION,infectious
FX ANKLE,trauma_injury
SPLENONEGALY/SDA,other
ESSENTIAL TREMOR/SDA,neurological
SPINAL LESION,neurological
CELLULITIS;LEFT LOWER EXTREMITY ULCER,infectious
VFIB-CARDIAC ARREST,cardiovascular
THROMBOCYTOPENIA; BIPOLAR;DEPRESSED;LEUKOCYTOSIS,psychiatric
SALT,symptoms_unspecified
LEFT LUNG MASS/SDA,oncology
RULE OUT BOWEL PERFORATION,symptoms_unspecified
CERVICAL MYLEOPATHY/SDA,neurological
ENTEROCUTAEOUS FISTULA,gastrointestinal
ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION **REMOTE WEST**/SDA,cardiovascular
RULE OUT TUBERCULOSIS,infectious
COLD LEG,cardiovascular
VENTRICULAR ARREST,cardiovascular
AORTIC STENOSIS;CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT;AORTIC VALVE REPLACEMENT/SDA,cardiovascular
COPD EXACERBATION;RIB FRACTURE,respiratory
AC CHOLECYSTITIS,gastrointestinal
DYSPNEA;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,cardiovascular
AORTIC STENOSIS\AORTIC VALVE / ASCENDING AORTA REPLACEMENT,cardiovascular
PNEUMONIA;CHEST PAIN;TELEMETRY,infectious
CHEST PAIN-LEUKEMIA,hematologic
CORONARY ARTERY BYPASS,cardiovascular
INFECTED LEG,infectious
CHOLECYSTITIS; CHEST PAIN,gastrointestinal
WORSENING LOWER BACK /LEG PAIN,musculoskeletal
PNEUMONIA;(AML) ACUTE MYELOGENOUS LEUKEMIA,infectious
MALAISE,symptoms_unspecified
HTN URGENCY,cardiovascular
GASTROINTESTINAL BLEED;HEPATITIS C,gastrointestinal
FLASH PULMONARY EDEMA;RENAL FAILURE,cardiovascular
HYPERTENSION;CORONARY ARTERY DISEASE;PERIPHERAL VASCULAR DISEASE;CHRONIC RENAL INSUFFICIENCY\CARDIAC CATH/SDA,cardiovascular
MELANOMA/SDA,oncology
FALL HEADBLEED.HIPFRACTURE,trauma_injury
MYOCARDIAL INFARCTION;ATRIAL FLUTTER\CATH,cardiovascular
CHI;FACIAL LACERATION;RIGHT ARM DEGLOVING,trauma_injury
PNEUMOTHORAX/CLAVICLE & PELVIC FRACTURE,trauma_injury
FUNGEMIA,infectious
HYPERGLYCEMIA;TELEMETRY,endocrine_metabolic
SYMPTOMATIC CHOLELITHIASIS,gastrointestinal
HYPERTENSION;SEPSIS,infectious
ACUTE RENAL FAILURE;METHICILLIN RESISTANT STAPH AUREUS,renal
CHOLELITHIASIS;S/P ERCP;S/P SPHINCETEROTOMY,gastrointestinal
SUBDURAL HEMATOMA;MRSA,neurological
GASTROINTESTINAL BLEED-ANEMIA,gastrointestinal
ESOPHAGIAL CA/SDA,oncology
RIGHT HIP FX,trauma_injury
ACUTE MYELOGENOUS LEUKEMIA;CHEMOTHERAPY,hematologic
HYPOGLYCEMIA;TELEMETRY,endocrine_metabolic
MITRAL DISORDER\MITRAL VALVE REPLACEMENT / TVR ? CORONARY ARTERY BYPASS GRAFT,cardiovascular
BRAIN MASS/SDH,neurological
RIGHT PAROTID TUMOR/SDA,oncology
LEFT KNEE OSTEOARTHRITIS /SDA,musculoskeletal
SVT;PNEUMONIA;TELEMETRY,cardiovascular
ETT\CATH,other
CEREBELLAR INFACTS,neurological
RIGHT HIP PAIN,musculoskeletal
OVERDOSE;HYPOTENSION,toxicology_poisoning
STEMI;TELEMETRY,cardiovascular
COAGULOPATHY,hematologic
L THIGH FLUID COLLECTION,infectious
ABDOMINAL TRAUMA,trauma_injury
ALTERED MENTAL STATUS;URINARY TRACT INFECTION,infectious
R/O CVA,neurological
A-FIB;CONGESTIVE HEART FAILURE,cardiovascular
LEFT LOWER EXTREMITY ULCER/SDA,musculoskeletal
THORACIC ANEURYSM\RESECTION ANEURYSM THORACIC /SDA,cardiovascular
ACUTE RENAL FAILURE;CONGESTIVE HEART FAILURE,renal
ADVANCED HEART FAILURE,cardiovascular
S/P COLON RESECTION; ?ISCHEMIA,postoperative_surgical
CEREBRO VASCULAR ACCIDENT,neurological
CRITICAL AORTIC STENOSIS;PULMONARY EDEMA,cardiovascular
FACIAL INFECTION,infectious
AIRWAY STENOSIS,respiratory
CEREBELLUM MASS,neurological
CVA\ PATENT FORAMEN OVALE,neurological
RHC,cardiovascular
ANGINA; CORONARY ARTERY DISEASE\LEFT HEART CATHETERIZATION,cardiovascular
THROMBOCYTOPENIA; ANEMIA,hematologic
GASTROINTESTIONAL BLEED,gastrointestinal
"PEDAL EDEMA,HYPOKALEMIA",cardiovascular
ST ELEVATION MYOCARDIAL INFARCTION\CATH,cardiovascular
SPINAL TUMOR,neurological
RENAL FAILURE;CIRRHOSIS,renal
CBD STONE,hepatobiliary
HYPONATREMIA;SEIZURE,neurological
WORSEING RENAL FAILURE,renal
FAILED TOTAL HIP REPLACEMENT/SDA,postoperative_surgical
CONGESTIVE HEART FAILURE;EXACERBATION;HYPOGLYEMIA,cardiovascular
QUESTION OF SEPSIS,infectious
"BRONCHITIS,UTI,CHANGE IN MENTAL STATUS",infectious
OSTOMY/SDA,postoperative_surgical
SEROQUEL OVERDOSE,toxicology_poisoning
INTRAPERITONEAL HEMORRHAGE,trauma_injury
"A-FIB,CAD,CRF",cardiovascular
SEVERE HYPERTROPHIC CARDIOMYOPATHY\SEPTEL ETHANOL ABLATION,cardiovascular
ARTERIAL VENOUS MALFORMATION,neurological
BRAIN HERNIATION,neurological
LGI BLEED,gastrointestinal
PROSTATE CANCER;PNEUMONIA,oncology
PNEUMONIA;METHICILLIN RESISTANT STAPH AUREUS,infectious
D.M. ACUTE RENAL FAILURE; RHABDOMYOLYSIS,renal
SUPRATHERAPEUTIC INR,hematologic
HYPERPARATHYROIDISM,endocrine_metabolic
ORAL BLEEDING,other
CRYPTOGENIC CIRRHOSIS,hepatobiliary
ACUTE MYOCARDIAL INFARCTION;,cardiovascular
POSITIVE BLOOD CULTURES,infectious
FACIAL FRACTURES;RADIUS FRACTURE,trauma_injury
ENLARGED PNEUMOTHORAX,respiratory
DIABETIC FOOT ULCER,endocrine_metabolic
SUBARACHNOID HEMORRHAGE-INTRAPARENCHYMAL HEMORRHAGE,neurological
HEPATORENAL SYNDROME; CIRRHOSIS,renal
MALNUTRITION,other
BILLIARY OBSTRUCTION,hepatobiliary
? BOWEL OBSTRUCTION,gastrointestinal
CONJESTIVE HEART FAILURE,cardiovascular
INFECTED RIGHT HEEL;ULCER;DM,infectious
MULTIPLE MYELOMA;FEVER;NEUTROPENIA,hematologic
MCC,other
ACUTE EPIGLOTITIS,respiratory
ARF AND RESPIRATORY DISTRESS,renal
NOSE BLEED,hematologic
"CAD,MR\CORONARY ARTERY BYPASS GRAFT;MITRAL VALVE REPLACEMENT/SDA",cardiovascular
DISCITIS,musculoskeletal
FREE ABDOMINAL AIR,gastrointestinal
ACUTE RENAL,renal
SPINAL SURGERY SITE INFECTION,infectious
ACHALASIA/SDA,gastrointestinal
LEFT HEMOTHORAX,trauma_injury
ANEMIA-RENAL FAILURE,renal
NON SMALL CELL CARCINOMA/SDA,oncology
NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION;ATRIAL FIBRILLATION;HYPOTENSION\CARDIAC CATH,cardiovascular
SAH;FEMUR FRACTURE,trauma_injury
SYNCOPE\CATH,cardiovascular
"ALTERED MENTAL STATUS,FEVER,HYPOTENSION",other
INFECTED RIGHT FOOT',infectious
PELVIC ABSCESS WITH PERFORATED VISCUS;FISTULA,infectious
PSEUDOCYST;ABDOMINAL PAIN,gastrointestinal
ATRIAL FIBRILATION\THORACOSCOPIC MAZE PROCEDURE,cardiovascular
RENAL MASS LEFT/SDA,renal
CORONARY ARTERY DISEASE;RENAL FAILURE,cardiovascular
SEPSIS;CELLULITIS;TELEMETRY,infectious
ACIDOSIS-ACUTE RENAL FAILURE,renal
BRONCHOSPASM,respiratory
T10 LYTIC LESION,oncology
SEPSIS;FEVER,infectious
INFECTED PACER SITE/SEPSIS,infectious
PULSELESS ELECTRICAL ACTIVITY ARREST,cardiovascular
TRAUMATIC SUBDURAL HEMORRHAGE,trauma_injury
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT;MITRAL VALVE REPLACEMENT; MAZE PROCEDURE/SDA,cardiovascular
ACUTE MI; AORTIC VALVE DISEASE,cardiovascular
PERIRECTAL ABSCESS,infectious
END STAGE RENAL DISEASE;HYPOGLYCEMIA;HYPERTENSION,renal
MYOCARDIAL INFARCTION-ATRIAL FLUTTER,cardiovascular
ACUTE RENAL FAILURE;S/P KIDNEY TRANSPLANT,renal
RIGHT SHOULDER DISLOCATION;ULNAR NERVE INVOLVEMENT,trauma_injury
BILATERAL INFECTED HEEL ULCERS,infectious
INFECTED THIGH WOUND,infectious
OA LEFT HIP/SDA,musculoskeletal
VENTRICULAR TACHYCARDIA\CATH,cardiovascular
R/O BACTEREMIA,infectious
TRACHEO-BRONCHIO MALACEA,respiratory
CHOLECYSTIS,hepatobiliary
SUBDURAL HEMORRHAGE;TRAUMA,trauma_injury
CHEST PAIN; CATH,cardiovascular
FEVER;DIARRHEA;DEHYDRATION,infectious
OPEN WOUND ON SKULL,trauma_injury
ATHEROSCLEROSIS W/ CLAUDICATION/SDA,cardiovascular
BRAIN STEM STROKE,neurological
POSSIBLE SVC SYNDROME,cardiovascular
ADRENAL INSUFFICIENCY,endocrine_metabolic
?ANEURYSM/SDA,cardiovascular
CSF RHINORRHEA,neurological
MYOCARDIAL INFARCTION;SEVERE AORTIC STENOSIS;ALCOHOL ABUSE,cardiovascular
SEIZURES/HEMOPTITIS,neurological
PANCREATITIS/SDA,gastrointestinal
SEVERE AORTIC STENOSIS;CONGESTIVE HEART FAILURE;SEVERE BILATERAL LEG PAIN\CATH,cardiovascular
SQUAMOUS CELL CA FLOOR OF MOUTH/SDA,oncology
RULE OUT CORONARY ARTERY DISEASE\CATH,cardiovascular
U/A,genitourinary
NON ST ELEVATED MYOCARDIAL INFARCTION,cardiovascular
ABDOMINAL INFECTION,infectious
TRAUMATIC HEAD BLEED,trauma_injury
RIGHT FEMUR FX;ACUTE ANEMIA,trauma_injury
INFERIOR MI,cardiovascular
DISECTING AORTIC ANEURYSM,cardiovascular
COLONIC MASS,oncology
POLYTRAUMA S/P FALL,trauma_injury
ACUTE STROKE;TELEMETRY,neurological
CARDIOMYOPATHY;CORONARY ARTERY DISEASE\CATH,cardiovascular
CONGESTIVE HEART FAILURE\RIGHT AND LEFT HEART CATH,cardiovascular
PITUITARY TUMOR,endocrine_metabolic
THORACO-ABD ANEURYSM,cardiovascular
GLIOBLASTOMA,oncology
LOWER GASTROINTESTINAL BLEED;ANEMIA,gastrointestinal
ATRIAL DEFECT\REPAIR PATENT FORAMEN OVALE/SDA,cardiovascular
"CIRRHOSIS,FEVER",hepatobiliary
LEFT TRUE VOCAL CORD PARALYSIS/SDA,neurological
ST ELEVATED MYOCARDIAL INFARCTION\CATH,cardiovascular
REMOVAL SOFT TISSUE MASS POSTERIOR TO ODONTOID PROCESS/SDA,oncology
CELLULITIS OF UPPER EXTREMITY,infectious
CONGESTIVE HEART FAILURE;HIP FRACTURE,cardiovascular
HYPOTENSION;R/O SEPSIS,infectious
HYPERGLYCEMIA;HYPONATREMIA,endocrine_metabolic
THREE VESSEL CORONARY ARTERY DISEASE,cardiovascular
DIABETIC KETOACIDOSIS;RENAL FAILURE,endocrine_metabolic
DISTAL FEMUR FRACTURE,trauma_injury
THORACIC CORD COMPRESSION/SDA,neurological
VY36PH\CORONARY ARTERY BYPASS GRAFT/SDA,cardiovascular
ATRIAL TACHYCARDIA;\CARDIOVERSION,cardiovascular
S/P FALL-RIGHT HIP PAIN,trauma_injury
ESRD,renal
ENDOCARDITIS;PULMONARY EMBOLUS,cardiovascular
HYPOTENSION;SEPSIS;TELEMETRY,infectious
CONGESTIVE HEART FAILURE;PNA,cardiovascular
CEREBELLAR TUMOR/SDA,neurological
CONGESTIVE HEART FAILURE;RENAL FAILURE,cardiovascular
NON ST MI,cardiovascular
PERICARDIAL DISEASE\PERICARDIAL STRIPPING/SDA,cardiovascular
DIABETES,endocrine_metabolic
VENTRICULAR TACHYCARDIA\VENTRICULAR TACHYCARDIA ABLATION  **REMOTE WEST**,cardiovascular
HYDROTHORAX,respiratory
CONGESTIVE HEART FAILURE;ARF,cardiovascular
ISCHEMIA,cardiovascular
LUNG CANCER;DYSPNEA,oncology
CEREBELLAR INFARCTION,neurological
ASPIRATION/RESPIRATORY FAILURE,respiratory
MITRAL REGURG,cardiovascular
PNEUMONIA-NSTEMI,cardiovascular
STAGE III RECTAL CANCER;PLEURAL EFFUSION,oncology
DECUBITUS ULCERS,dermatologic
GASTRIC TUMOR/SDA,oncology
LLL PNEUMONIA,respiratory
? PE,cardiovascular
HYPOTENSION;TACHYCARDIA,cardiovascular
ABDOMINAL PAIN;EXPLORATORY LAPAROSCOPY;BILE DUCT OBSTRUCTION,gastrointestinal
HYPERBILIRUBINEMIA,hepatobiliary
CHF/PNEUMONIA,cardiovascular
RIGHT LEG ARTERIAL THROMBOSIS,cardiovascular
STE MYOCARDIAL INFARCTION\CARDIAC CATH,cardiovascular
HYPERSTIMULATION SYNDROME,pregnancy_obstetric
SUBGLOTIC STENOSIS,respiratory
HYPERCARBIA,respiratory
SADDLE PULMONARY EMBOLUS,cardiovascular
RIGHT LOWER EXTREMITY ISCHEMIA,cardiovascular
FOOT ULCERS,dermatologic
MASSIVE WEIGHT LOSS/SDA,other
"PAIN CONTROL,S/P VIDEO ASSISTED THORACOSCOPY",postoperative_surgical
CELLULITIS/ABSCESS,infectious
AORTIC STENOSIS\BENTAL PROCEDURE REDO,cardiovascular
ACUTE LEUKEMIA;INTRACRANIAL BLEED,hematologic
VENTRAL HERNIA & CHOLECYSTITIS/SDA,gastrointestinal
AORTIC VALVE ABSCESS,cardiovascular
CHOLAGIOCARCINOMA/SDA,oncology
DEGLOVING INJURY,trauma_injury
SEVERE GERD/SDA,gastrointestinal
POST PROCEDURE PAIN AND FEVER,postoperative_surgical
DIABETIC KETOACIDOSIS;BRAIN MASS,endocrine_metabolic
ST ELEVATION,cardiovascular
LARYNGEAL EDEMA,respiratory
CIRRHOSIS;ENCEPHALOPATHY,hepatobiliary
ATRIAL DEFECT\REPAIR ATRIAL-SEPTAL DEFECT; LIMITED ACCESS/SDA,cardiovascular
ELEVATED BILIRUBIN,hepatobiliary
DIVERTICULAR STRICTURE/SDA,gastrointestinal
PULMONARY EMBOLIS; PERICARD; PLEURAL EFFUSIONS,cardiovascular
CHEST PAIN;ANGINA\LEFT HEART CATHETERIZATION,cardiovascular
RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY;CONGESTIVE HEART FAILURE,cardiovascular
POST-CARDIAC ARREST,cardiovascular
DVT,cardiovascular
CHEST PAIN;UNSTABLE ANGINA\CATH,cardiovascular
SUBDURAL HEMORRHAGE;HIP FRACTURE,trauma_injury
CAD AND MITRAL REGURGITATION\CORONARY ARTERY BYPASS GRAFT WITH MVR /SDA,cardiovascular
CONGESTIVE HEART FAILURE/PNEUMONIA,cardiovascular
CORONARY ARTERY DISEASE;PVD\CARDIAC CATH,cardiovascular
PNEUMONIA-RESPIRATORY FAILURE,respiratory
SUBDURAL BLEEDING,neurological
CORONARY ARTERY DISEASE;CAROTID STENOSIS\CAROTID ANGIOGRAM,cardiovascular
LEFT NECK MASS/SDA,oncology
THORACIC MASS,oncology
INTRACRANIAL HEAD BLEED,neurological
BASILAR TIP ANEURYSM/SDA,neurological
RIGHT SUBDURAL HEMATOMA,neurological
HYPOPHARYNGEAL TUMOR,oncology
ALTERED MENTAL STATUS CHANGES;TELEMETRY,neurological
? AORTIC FILLING DEFECT,cardiovascular
SEPSIS-CONGESTIVE HEART FAILURE,cardiovascular
"PNEUMONIA, R/O MI",respiratory
CHEST PAIN;POSITIVE STRESS TEST\CARDIAC CATH,cardiovascular
PNEUMONIA; RESPIRATORY FAILURE,respiratory
MVR\MITRAL VALVE REPLACEMENT /SDA,cardiovascular
CHEST PAIN;+MYOVIEW\CATH,cardiovascular
LUNG MASS RIGHT/SDA,oncology
COLON POLYP/SDA,gastrointestinal
DILATED ASCENDING AORTA\BENTAL PROCEDURE; REDO STERNOTOMY;ASCENDING AORTA REPLACEMENT? AVR,cardiovascular
PARAGANGLIONOMA OF ABDOMEN/SDA,oncology
OBESE;DIABETES MELLITUS;CORONARY ARTERY DISEASE;CHRONIC OBST PULM DISEASE,endocrine_metabolic
UNSPECIFIED INJUIRIES FROM TRAUMA,trauma_injury
TEGRETOL OVERDOSE,toxicology_poisoning
OVERDOSE;ACUTE RENAL FAILURE,renal
SUBURAL HEMORRHAGE,neurological
"SEPSIS,RESPIRATORY FAILURE",infectious
INTRANCRANIAL HEMORRHAGE,neurological
FALL WITH SDH,trauma_injury
BILARY STONES/SDA,hepatobiliary
RAPID AFIB;PLEURAL EFFUSION;TELEMETRY,cardiovascular
